ebn0,ber,ber_clean,fer_model,slip_p,fer_cxx
16.0,0.04731226679104478,0.03069612873134328,0.050000000000000044,0.2,0.012499999999999956
14.0,0.051171875,0.027493670042643924,0.050000000000000044,0.3,0.0
12.0,0.0589902052238806,0.030900186567164176,0.07499999999999996,0.4,0.012499999999999956
10.0,0.1977378731343284,0.051294309701492534,0.4,0.5,0.36250000000000004
8.0,0.3764400652985075,nan,0.8625,1.0,0.8625
6.0,0.434765625,nan,0.9125,1.0,0.925
5.0,0.47286363939232406,nan,0.9875,1.0,0.9875
4.0,0.45958405517057566,nan,1.0,1.0,1.0
